Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2006,58,58,DAL,J.R. Pinnock,George Washington University,,,,,,,,,,,,,,,,,
2006,59,59,SAS,Damir Markota,,1,30,170,51,31,6,0.365,0.375,0.636,5.7,1.7,1,0.2,-0.2,-0.07,-9,-0.3
2006,60,60,DET,Will Blalock,Iowa State University,1,14,166,25,15,17,0.3,0.2,1,11.9,1.8,1.1,1.2,-0.1,-0.032,-5.7,-0.2
2005,1,1,MIL,Andrew Bogut,University of Utah,13,676,19548,6735,5991,1522,0.534,0.12,0.556,28.9,10,8.9,2.3,49.9,0.122,2.4,21.4
2005,2,2,ATL,Marvin Williams,University of North Carolina,13,867,25039,9163,4608,1131,0.443,0.353,0.806,28.9,10.6,5.3,1.3,54.2,0.104,-0.4,10.1
2005,3,3,UTA,Deron Williams,University of Illinois at Urbana-Champaign,12,845,28865,13804,2619,6819,0.445,0.357,0.822,34.2,16.3,3.1,8.1,77.3,0.129,1.3,23.8
2005,4,4,NOH,Chris Paul,Wake Forest University,13,835,29679,15614,3692,8262,0.473,0.37,0.866,35.5,18.7,4.4,9.9,154.7,0.25,7.6,71.7
2005,5,5,CHA,Raymond Felton,University of North Carolina,13,862,27190,10196,2688,4854,0.413,0.328,0.788,31.5,11.8,3.1,5.6,37.8,0.067,-0.5,10.6
2005,6,6,POR,Martell Webster,,10,580,13914,5056,1811,588,0.418,0.382,0.791,24,8.7,3.1,1,24.7,0.085,-0.7,4.6
2005,7,7,TOR,Charlie Villanueva,University of Connecticut,11,656,13578,6808,3019,549,0.435,0.341,0.772,20.7,10.4,4.6,0.8,22.6,0.08,-1.8,0.6
2005,8,8,NYK,Channing Frye,University of Arizona,12,807,18776,7413,3821,808,0.44,0.389,0.822,23.3,9.2,4.7,1,37.5,0.096,-0.1,9.1
2005,9,9,GSW,Ike Diogu,Arizona State University,6,225,2795,1348,689,69,0.509,0.5,0.786,12.4,6,3.1,0.3,6.5,0.112,-4.8,-2
2005,10,10,LAL,Andrew Bynum,,8,418,10690,4822,3221,490,0.556,0.111,0.69,25.6,11.5,7.7,1.2,37.4,0.168,1.3,9
